Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
YP_007507325_Melaka_orthoreovirus,Orthoreovirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Orthoreovirus,Pteropine orthoreovirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Orthoreovirus|Pteropine orthoreovirus
NP_620541_Rice_ragged_stunt_virus,Oryzavirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Oryzavirus,Rice ragged stunt virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Oryzavirus|Rice ragged stunt virus
WHCCII11806_Hubei_reo-like_virus_5,Oryzavirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Oryzavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Oryzavirus|
YP_003934919_Raspberry_latent_virus,Oryzavirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Oryzavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Oryzavirus|
NP_620544_Rice_dwarf_virus,Phytoreovirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Phytoreovirus,Rice dwarf virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Phytoreovirus|Rice dwarf virus
YP_001111373_Rice_gall_dwarf_virus,Phytoreovirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Phytoreovirus,Rice gall dwarf virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Phytoreovirus|Rice gall dwarf virus
YP_002790884_Homalodisca_vitripennis_reovirus,Phytoreovirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Phytoreovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Phytoreovirus|
AGW51755_uncultured_virus,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
arthropodmix13736_Hubei_insect_virus_2_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
BHBJDX18427_Beihai_reo-like_virus_2,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
BHXG23560_Beihai_reo-like_virus_1,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
Cartilaginous_RGYQSMGReov43318_Wenzhou_pacific_spadenose_shark_reovirus_1_3907bp,Reoviridae,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
fly110803_Hubei_reo-like_virus_14,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
LCM63289_Hubei_lepidoptera_virus_5_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
LCM63323_Hubei_lepidoptera_virus_4_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
mosHB233040_Hubei_mosquito_virus_5,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
mosHB234257_Hubei_reo-like_virus_12,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
mosHB235771_Hubei_reo-like_virus_7,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QCM786512_Hubei_reo-like_virus_1,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QTM133059_Hubei_odonate_virus_15_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QTM136127_Hubei_reo-like_virus_10_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QTM23921_Hubei_reo-like_virus_11_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QTM25955_Hubei_reo-like_virus_2_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
QTM27275_Hubei_odonate_virus_14_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
Rayfin_DHJQYS14691_Wenling_minipizza_batfish_reovirus_1_3839bp,Reoviridae,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
RBXXC337523_Hubei_blood_fluke_virus_3_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
SCM43983_Hubei_reo-like_virus_3,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
SCM51404_Hubei_diptera_virus_20_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
SCM95013_Hubei_diptera_virus_21_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
SSZZ3444_Hubei_tetragnatha_maxillosa_virus_9_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
SXSSP2271_Sanxia_reo-like_virus_1,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
UQS94360.1_P3_Corparats_virus_1_P3_Paratrachymyrmex_1224,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
WGML144712_Hubei_reo-like_virus_4_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
WGML611819_Hubei_reo-like_virus_6_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
WHYCM468_Wuhan_heteroptera_virus_3_RdRp,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
WLJQ76115_Wenling_reo-like_virus_1,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
WLJQ99210_Wenling_reo-like_virus_2,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
YP_005255241_Spissistilus_festinus_reovirus,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
YP_009158917_Lutzomyia_reovirus_1,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
YP_009246448.1_Callinectes_sapidus_reovirus_1_1416,Reoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
YP_010086008.1_Kundal_virus_1433,Coltivirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Coltivirus,Kundal coltivirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Coltivirus|Kundal coltivirus
YP_010086016.1_Tarumizu_tick_virus_1433,Coltivirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Coltivirus,Tarumizu coltivirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Coltivirus|Tarumizu coltivirus
YP_392501_Operophtera_brumata_reovirus,Orbivirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Chobar Gorge virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Chobar Gorge virus
Cartilaginous_NHJSC29872_Nanhai_dogfish_shark_rotavirus_3552bp,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|
Rayfin_LXMC144087_Wenling_jack_mackerels_rotavirus_3294bp,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|
YP_002302227_Rotavirus_A,Rotavirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus A,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus A
YP_003896046_Rotavirus_D_chicken/05V0049/DEU/2005,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus D,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus D
YP_008126843_Human_rotavirus_B,Rotavirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus B,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus B
YP_008136242_Rotavirus_G,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus G,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus G
YP_008145313_Rotavirus_F,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus F,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus F
YP_010086029.1_Rotavirus_J_1168,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus J,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus J
YP_392464_Rotavirus_C,Rotavirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus C,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus C
YP_392490_Adult_diarrheal_rotavirus_strain_J19,Rotavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,Rotavirus H,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|Rotavirus H
ALR84811.1_Mangshi_virus_Culex_tritaeniorhynchus_1214,Seadornavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Seadornavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Seadornavirus|
NP_694468_Kadipiro_virus,Seadornavirus,1,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Seadornavirus,Kadipiro virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Seadornavirus|Kadipiro virus
NP_694469_Banna_virus,Seadornavirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Seadornavirus,Banna virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Seadornavirus|Banna virus
YP_460026_Liao_ning_virus,Seadornavirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Seadornavirus,Liao ning virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Seadornavirus|Liao ning virus
